TELERIDE_NUMBER,STOP_NAME,STATUS,point,City Quadrants,Ward Boundaries 2017,Ward Boundaries,Calgary Communities
8358,WB MRU West Gate,INACTIVE,POINT (-114.133868640867 51.0143094499602),1,2,8,42
4906,EB Coventry DR @ Coventry CL NE,ACTIVE,POINT (-114.046697744715 51.1568727157964),4,12,11,251
2880,EB Southland DR @ Oakfield DR SW,INACTIVE,POINT (-114.131707708272 50.961132777527),1,5,8,126
3626,WB 69 Street CTrain Station,ACTIVE,POINT (-114.188485952063 51.0376052067678),1,14,1,289
2066,WB Nolan Hill BV @ Nolanshire PT 100 NW,ACTIVE,POINT (-114.162003819513 51.171716443508),2,10,3,188
8127,SB Auburn Bay ST @ Auburn Bay BV SE,ACTIVE,POINT (-113.950788279391 50.886273260755),3,8,4,95
8553,SB Northmount DR @ Harlow AV NW,ACTIVE,POINT (-114.082718879027 51.0912699781306),2,4,7,37
8402,WB Patterson BV @ W. of Patterson DR SW,INACTIVE,POINT (-114.18208996753 51.066536294733),1,14,1,275
4942,EB Valley Ridge DR @ Valley Crest CL NW,ACTIVE,POINT (-114.265852448731 51.0922635376979),2,9,13,47
5764,NB Crowchild TR @ Glenmore TR SW,ACTIVE,POINT (-114.117760647702 51.0008964591629),1,5,8,122
8179,SB 52 ST SE @ 68 AV SE,ACTIVE,POINT (-113.95872552642 50.9935152630677),3,11,10,159
4065,EB 33 AV NW @ Bowwood DR,INACTIVE,POINT (-114.175159899179 51.0823434543332),2,9,13,149
4408,WB Temple DR @ 60 ST NE,ACTIVE,POINT (-113.947342750086 51.0849682206231),4,3,9,22
8251,SB Sunbank WY @ Sunvale CR SE,ACTIVE,POINT (-114.051332884264 50.9030536404892),3,13,6,52
8429,NB Tuscany Springs BV @ Tuscarora CL NW,ACTIVE,POINT (-114.238206331015 51.127141703598),2,9,13,158
3779,WB Springbluff  BV @ Springbank GA SW,ACTIVE,POINT (-114.190748568286 51.0213846323161),1,14,1,289
5565,NB Midridge DR @ Midlake BV SE,ACTIVE,POINT (-114.061721085317 50.9154141191122),3,13,6,263
5373,SB 20 ST SW@ 52 AV SW,ACTIVE,POINT (-114.109292954932 51.0063988358627),1,5,8,122
8828,EB 9 AV SE @ 11 ST SE,ACTIVE,POINT (-114.036298725082 51.0419067049166),3,11,10,54
6616,EB 40 AV NW @ E. of 49 ST NW,ACTIVE,POINT (-114.156569382228 51.0881257499677),2,9,13,269
6929,NB Harvest Hills DR @ Harvest Park RD NE,ACTIVE,POINT (-114.060023228911 51.1497609921972),4,12,11,27
4329,EB Maryvale DR @ Maryvale WY NE,ACTIVE,POINT (-113.966775211412 51.0566723537821),4,3,12,77
4244,NB Oakwood DR @ Oakmount DR SW,ACTIVE,POINT (-114.138958751812 50.9678068527223),1,5,8,217
6942,WB Sunmills DR @ Sunset WY SE,ACTIVE,POINT (-114.037543895802 50.8981977223523),3,13,6,52
5195,SB Elbow DR @ Heritage DR SW,ACTIVE,POINT (-114.083391494914 50.9786259157689),1,5,8,195
3543,SB Royal Oak DR @ Royal Birch BV NW,ACTIVE,POINT (-114.217183308097 51.1475975505412),2,9,3,252
7301,WB 36 AV SW @ 3 ST SW,INACTIVE,POINT (-114.069710287746 51.0216298690942),1,5,10,60
7188,NB Ranchero DR @ Ranchero PL NW,ACTIVE,POINT (-114.189622306701 51.1238336909971),2,10,3,245
6705,EB California BV @ 68 ST NE,ACTIVE,POINT (-113.934313199714 51.0725195802212),4,3,9,161
4622,EB Bow TR @ 26 ST SW,INACTIVE,POINT (-114.123276477419 51.0414372784456),1,2,14,198
8164,NB 52 ST NE @ Temple DR S leg,INACTIVE,POINT (-113.958225601588 51.0862685731202),4,3,9,22
4080,WB Bowfort RD @ Bowridge DR NW,ACTIVE,POINT (-114.209853114011 51.0850750928827),2,9,13,149
4461,NB 44 ST SE @ 14 AV SE,ACTIVE,POINT (-113.969877481264 51.0412993823641),3,11,12,85
4837,SB Coventry Hills WY @ Coventry Hills DR NE,ACTIVE,POINT (-114.059815242569 51.1651728103901),4,12,11,251
9579,NB Evanston VW @ Evanscreek CO NW,ACTIVE,POINT (-114.121238736364 51.1673403431565),2,10,3,237
8211,NB 44 ST SE @ 64 AV SE,ACTIVE,POINT (-113.97004225123 50.9970208301028),3,11,10,159
6687,EB 17 AV SE @ 33 ST SE,INACTIVE,POINT (-113.985778156179 51.0376901397597),3,11,12,15
4154,NB @ Barlow TR NE,INACTIVE,POINT (-114.00037959109 51.1331159247885),4,1,11,86
8107,WB Auburn BAY BV @ Auburn Shores WY SE,ACTIVE,POINT (-113.957017958078 50.8853844185798),3,8,4,95
9130,NB Woodpark BV @ Woodpark RD SW,ACTIVE,POINT (-114.108780208235 50.9454096792118),1,6,5,216
2864,WB Heritage DR @ Heritage GA SE,INACTIVE,POINT (-114.044358937941 50.9872839694145),3,11,10,1
6626,Lions Park LRT Station (EB 14 AV NW),ACTIVE,POINT (-114.101966788968 51.0650974733019),2,7,7,152
7857,SB 14 ST SW @ 10 AV SW,ACTIVE,POINT (-114.094938451085 51.043982890079),1,2,14,136
9148,WB Lake Bonavista DR @ Lake Erie RD SE,ACTIVE,POINT (-114.058409377874 50.939707231398),3,13,6,267
8304,WB Canyon Meadows DR @ Deer River GA SE,ACTIVE,POINT (-114.010878739784 50.9334080514537),3,13,6,168
9722,EB Panorama Hills DR @ Panorama Hills CI,ACTIVE,POINT (-114.08347864747 51.1495121634986),2,12,11,235
5355,NB 20 ST SW@ 46 AV SW,ACTIVE,POINT (-114.109235124084 51.0128287324327),1,2,8,200
6835,WB Citadel DR @ 400 Citadel Meadow BA NW,ACTIVE,POINT (-114.177332104169 51.1491091269499),2,10,3,247
8910,NB 42 ST SE @ 112 AV SE,ACTIVE,POINT (-113.974887716004 50.9529984027181),3,8,4,79
3767,26th Avenue SW Station (NB),ACTIVE,POINT (-114.141028890337 51.0302618778184),1,2,14,182
8661,WB 17 AV SW @ 45 ST SW,ACTIVE,POINT (-114.15338556389 51.0378756065227),1,14,14,234
4212,NB Acadia DR @ Maplecroft RD SE,ACTIVE,POINT (-114.042178539479 50.9583304403036),3,5,6,93
2372,WB Douglasdale BV @ Douglasview BV SE,ACTIVE,POINT (-113.99158269205 50.9408701081192),3,13,4,268
7829,NB Bellevue AV @ 17 AV SE,INACTIVE,POINT (-114.044440958463 51.0381732887937),3,11,10,132
5487,SB 14 ST NW @ Northmount DR,ACTIVE,POINT (-114.094880713864 51.0834147732333),2,4,7,214
4112,Dalhousie LRT Station NB,ACTIVE,POINT (-114.15800326653 51.1038653603745),2,4,7,38
7576,WB Sunridge BV @ 26 ST NE,ACTIVE,POINT (-113.998959325719 51.0769779952506),4,3,9,83
2135,WB New Brighton DR @ BrightonCrest MR SE,ACTIVE,POINT (-113.949381335489 50.9243835357615),3,8,4,139
9412,WB Child AV @ Bantry ST NE,ACTIVE,POINT (-114.035629865188 51.058854187703),4,11,10,171
9098,SB Parkland BV @ Parkland WY SE,ACTIVE,POINT (-114.029965903851 50.9253951251663),3,13,6,117
