BathroomTotal,Bedrooms,BuildingType,Latitude,Longitude,OwnershipType,Price,PropertyType,SizeInterior,StoriesTotal
1,2 + 0,Mobile Home,51.092897,-114.223029,Leasehold,"$14,999",Single Family,963 sqft,1
1,2 + 0,Mobile Home,51.041269,-113.939869,Leasehold,"$22,900",Single Family,927 sqft,1
1,2 + 0,Mobile Home,51.043459,-113.939011,Leasehold,"$29,900",Single Family,1056 sqft,1
1,2 + 0,Mobile Home,51.043448,-113.938655,Leasehold,"$29,900",Single Family,827 sqft,1
1,2 + 0,Mobile Home,51.039323,-113.943356,Leasehold,"$29,900",Single Family,823 sqft,1
1,3 + 0,Mobile Home,51.089658,-114.214778,Leasehold,"$39,500",Single Family,1249 sqft,1
1,2 + 0,Mobile Home,51.090677,-114.223345,Leasehold,"$40,000",Single Family,1062 sqft,1
1,2 + 0,Mobile Home,51.129954,-114.217306,Leasehold,"$49,900",Single Family,951 sqft,1
2,2 + 0,Mobile Home,51.127602,-114.217323,Leasehold,"$49,900",Single Family,892 sqft,1
1,2 + 0,Mobile Home,51.04625,-113.398869,Leasehold,"$51,000",Single Family,744 sqft,1
1,2 + 0,Mobile Home,51.128361,-114.215939,Leasehold,"$59,000",Single Family,910 sqft,1
2,3 + 0,Mobile Home,51.039918,-113.94195,Leasehold,"$61,500",Single Family,1444 sqft,1
2,2 + 0,Mobile Home,51.090749,-114.219552,Leasehold,"$64,900",Single Family,924 sqft,1
2,3 + 0,Mobile Home,51.090502,-114.219276,Leasehold,"$69,900",Single Family,1216 sqft,1
2,3 + 0,Mobile Home,51.092407,-114.225498,Leasehold,"$74,900",Single Family,1099 sqft,1
2,3 + 0,Mobile Home,51.128693,-114.218031,Leasehold,"$79,000",Single Family,1152 sqft,1
2,3 + 0,Mobile Home,51.12763,-114.21352,Leasehold,"$79,900",Single Family,1104 sqft,1
2,2 + 0,Mobile Home,51.127685,-114.215177,Leasehold,"$80,000",Single Family,1310 sqft,1
2,3 + 0,Mobile Home,51.090771,-114.220421,Leasehold,"$84,900",Single Family,1449 sqft,1
2,3 + 0,Mobile Home,51.041053,-113.940298,Leasehold,"$89,000",Single Family,1351 sqft,1
2,3 + 0,Mobile Home,51.041254,-113.939783,Leasehold,"$89,900",Single Family,1216 sqft,1
2,3 + 0,Mobile Home,51.089065,-114.218013,Leasehold,"$89,900",Single Family,1216 sqft,1
1,2 + 0,Row / Townhouse,50.935281,-114.083142,Condominium/Strata,"$89,900",Single Family,1123 sqft,2
2,3 + 0,Mobile Home,51.129667,-114.219457,Leasehold,"$95,000",Single Family,1152 sqft,1
2,3 + 0,Mobile Home,51.079757,-113.928636,Leasehold,"$98,500",Single Family,1343 sqft,1
2,3 + 0,Mobile Home,51.064336,-113.913407,Leasehold,"$99,900",Single Family,1071 sqft,1
2,2 + 1,Apartment,51.039553,-113.980564,Condominium/Strata,"$99,900",Single Family,664 sqft,2
2,3 + 0,Mobile Home,51.062354,-113.912367,Leasehold,"$99,900",Single Family,1103 sqft,1
1,2 + 0,Apartment,51.002261,-114.080524,Condominium/Strata,"$100,000",Single Family,864 sqft,1
1,1 + 0,Apartment,51.037676,-113.946355,Condominium/Strata,"$109,900",Single Family,535 sqft,1
1,0 + 0,Apartment,51.05032,-114.063229,Condominium/Strata,"$109,900",Single Family,366 sqft,1
1,1 + 0,Apartment,51.030727,-114.069278,Condominium/Strata,"$109,999",Single Family,355 sqft,1
1,1 + 0,Apartment,51.045515,-113.392645,Condominium/Strata,"$110,000",Single Family,701 sqft,1
1,2 + 0,Apartment,51.038491,-113.97131,Condominium/Strata,"$110,000",Single Family,826 sqft,1
